id,host_id,neighbourhood_group,neighbourhood,latitude,longitude,room_type,minimum_nights,number_of_reviews,reviews_per_month,calculated_host_listings_count,availability_365,price
26386411,129559316,Brooklyn,Greenpoint,40.72225,-73.94328,Private room,1,6,0.49,1,0,115
20425579,72715655,Manhattan,Hell's Kitchen,40.76347,-73.98785,Entire home/apt,2,97,4.21,1,145,250
35185863,264963423,Brooklyn,South Slope,40.66956,-73.98921999999999,Entire home/apt,2,4,4.0,1,345,195
27633987,208531763,Manhattan,Harlem,40.81915,-73.9425,Entire home/apt,4,9,1.04,1,89,112
30015658,220601248,Manhattan,Lower East Side,40.71752,-73.98886999999999,Private room,2,24,3.14,2,7,75
25889683,28996758,Manhattan,Upper West Side,40.79811,-73.97185999999999,Private room,1,5,0.38,1,0,72
15629854,42986446,Brooklyn,Bedford-Stuyvesant,40.69136,-73.92803,Entire home/apt,2,8,0.25,1,0,229
26595733,199946021,Manhattan,Upper West Side,40.8006,-73.96406999999999,Private room,1,80,6.59,3,19,76
31085028,4399103,Manhattan,Greenwich Village,40.72785,-73.99933,Entire home/apt,31,18,2.87,2,7,310
286838,1492339,Manhattan,Harlem,40.80748,-73.95589,Private room,2,101,1.1,1,0,75
21765318,34614054,Brooklyn,Greenpoint,40.72477,-73.94465,Shared room,2,16,0.81,5,274,35
26858196,23188519,Brooklyn,Bedford-Stuyvesant,40.69561,-73.94972,Private room,30,22,1.83,6,318,75
19720907,54283436,Manhattan,East Harlem,40.7993,-73.94164,Private room,3,6,0.25,1,0,60
34092210,181356989,Brooklyn,Brighton Beach,40.57647,-73.96696,Entire home/apt,2,1,1.0,2,56,275
33315338,52818583,Brooklyn,Bedford-Stuyvesant,40.68797,-73.95439,Private room,1,21,7.5,1,114,75
22863062,1678861,Brooklyn,Greenpoint,40.72016,-73.95461999999999,Entire home/apt,2,3,0.22,1,0,275
23879304,179416315,Bronx,University Heights,40.85989,-73.91189,Private room,2,7,0.46,2,156,60
26139590,15838559,Queens,Forest Hills,40.71357,-73.85138,Private room,60,4,0.33,4,0,59
30727105,4679911,Brooklyn,Greenpoint,40.73473,-73.95229,Private room,21,1,0.15,1,0,54
3341682,1558222,Brooklyn,Greenpoint,40.72285,-73.95192,Private room,1,3,0.05,3,0,75
10087874,28840058,Brooklyn,Bedford-Stuyvesant,40.68124,-73.9189,Private room,1,4,0.1,1,0,61
19559780,61042,Manhattan,East Harlem,40.79995,-73.94121,Private room,5,16,0.68,6,15,50
33041634,73369106,Brooklyn,Williamsburg,40.71864,-73.96106999999999,Entire home/apt,2,5,1.9,1,47,319
7784365,25602663,Queens,Long Island City,40.75255,-73.93654000000001,Private room,4,19,0.41,2,286,90
31313153,37280441,Manhattan,Morningside Heights,40.81053,-73.96123,Private room,1,1,0.17,2,0,53
9851704,12871485,Brooklyn,Bedford-Stuyvesant,40.680040000000005,-73.94628,Entire home/apt,2,9,0.21,1,0,120
18444575,5945526,Manhattan,Little Italy,40.72002,-73.99629,Entire home/apt,3,12,0.47,1,0,150
5075659,192852,Manhattan,Upper East Side,40.77407,-73.95238,Entire home/apt,3,211,3.95,1,230,125
12806177,66469868,Manhattan,Washington Heights,40.83344,-73.94442,Private room,2,46,1.2,1,72,65
28782669,216411482,Queens,East Elmhurst,40.76349,-73.88662,Private room,2,21,2.27,1,30,40
7920072,10353278,Manhattan,East Village,40.73243,-73.98692,Private room,2,114,2.47,2,98,96
21622153,157296660,Manhattan,Harlem,40.82604,-73.94998000000001,Private room,15,18,0.89,1,0,60
8254640,123713,Brooklyn,Bedford-Stuyvesant,40.68178,-73.94179,Entire home/apt,2,1,0.02,1,0,200
341982,483013,Manhattan,Upper West Side,40.77577,-73.98258,Entire home/apt,2,36,0.45,1,0,99
690349,3540041,Brooklyn,South Slope,40.66481,-73.98366999999999,Entire home/apt,2,77,0.97,1,0,179
19767924,139127299,Manhattan,Chinatown,40.71609,-73.99204,Entire home/apt,10,4,0.19,1,0,198
2185668,3579337,Manhattan,Chelsea,40.74106,-74.00262,Private room,30,8,0.12,3,301,80
3013158,15355526,Manhattan,Chelsea,40.73893,-73.99464,Entire home/apt,2,12,0.19,1,0,350
17511694,17770287,Manhattan,Midtown,40.74896,-73.98277,Entire home/apt,30,8,0.31,14,203,115
23792656,176001804,Brooklyn,Prospect-Lefferts Gardens,40.65924,-73.94959,Entire home/apt,2,68,4.45,1,290,125
28909110,10218689,Brooklyn,Crown Heights,40.67088,-73.95128000000001,Entire home/apt,4,26,2.85,1,0,90
9674142,49620552,Queens,Astoria,40.76768,-73.90986,Private room,1,156,3.59,4,208,59
18656413,110031106,Manhattan,Financial District,40.70586,-74.00875,Private room,1,3,0.12,1,0,85
19227532,134601877,Manhattan,East Harlem,40.79929,-73.94605,Entire home/apt,3,81,3.46,2,27,350
983625,4548229,Manhattan,Harlem,40.80421,-73.94301999999999,Entire home/apt,30,190,2.63,4,253,135
13582811,78408136,Brooklyn,Cypress Hills,40.68015,-73.90504,Entire home/apt,1,182,5.85,1,62,85
26228457,80292073,Brooklyn,South Slope,40.66323,-73.98138,Private room,5,7,0.59,2,56,60
22950209,170008285,Manhattan,Midtown,40.74779,-73.98734,Entire home/apt,3,36,2.11,1,331,220
7880998,41543076,Manhattan,Midtown,40.74321,-73.98474,Entire home/apt,7,1,0.03,1,0,175
21983066,160507714,Brooklyn,Fort Greene,40.68286,-73.97134,Private room,1,1,0.05,1,0,80
31716471,47114213,Queens,Long Island City,40.76117,-73.93127,Entire home/apt,2,11,2.29,1,3,70
2739884,3417714,Manhattan,Hell's Kitchen,40.75927,-73.99223,Entire home/apt,5,14,0.25,1,0,189
33269801,105762561,Queens,Jamaica,40.69008,-73.78667,Private room,2,12,3.56,3,330,85
30064760,12625398,Queens,Ridgewood,40.70581,-73.90978,Private room,2,4,0.55,1,0,43
28805245,217251565,Manhattan,East Village,40.7237,-73.98514,Private room,1,25,2.68,1,68,125
22282419,80824522,Brooklyn,Bushwick,40.70208,-73.93259,Private room,1,19,1.03,2,74,55
7256741,1468231,Manhattan,East Village,40.7333,-73.98943,Entire home/apt,2,30,0.62,1,2,219
8533457,44924379,Queens,Jamaica,40.69872,-73.78614,Private room,1,68,1.5,3,349,70
3860464,1812825,Brooklyn,Bedford-Stuyvesant,40.68695,-73.92947,Entire home/apt,3,8,0.14,1,0,135
28208177,213049308,Queens,Flushing,40.75501,-73.83315,Private room,1,37,3.85,3,0,120
2686412,13384586,Brooklyn,Clinton Hill,40.68274,-73.96486999999999,Private room,3,74,1.16,1,284,49
23582823,4436365,Queens,Woodside,40.75524,-73.90768,Entire home/apt,3,2,1.5,1,180,120
23166224,842091,Brooklyn,Bushwick,40.69874,-73.92496,Private room,3,51,3.0,2,51,40
29422942,221635816,Queens,Sunnyside,40.73986,-73.91996,Entire home/apt,2,55,6.45,1,99,185
10386341,53468381,Brooklyn,Bedford-Stuyvesant,40.69507,-73.94332,Entire home/apt,2,202,4.76,1,276,125
24545438,30384092,Brooklyn,Crown Heights,40.66725,-73.95017,Private room,3,45,3.33,1,135,70
15411327,8113117,Brooklyn,Williamsburg,40.71228,-73.95323,Private room,2,181,5.42,1,52,80
4157064,3563,Brooklyn,Sunset Park,40.64076,-74.0224,Private room,6,1,0.02,1,0,35
808851,1289936,Manhattan,East Harlem,40.78728,-73.94579,Private room,4,150,1.88,1,192,95
23714854,48911266,Manhattan,Two Bridges,40.71262,-73.99592,Private room,3,17,1.31,2,86,119
19155632,114146085,Brooklyn,Windsor Terrace,40.65013,-73.97863000000001,Entire home/apt,3,30,1.23,1,3,115
4384820,22764554,Brooklyn,Williamsburg,40.71797,-73.95981,Private room,1,1,0.02,1,0,135
24230182,127412674,Brooklyn,Williamsburg,40.70111,-73.94471,Private room,2,28,1.91,2,342,75
17702242,10661558,Manhattan,Upper East Side,40.77349,-73.94994,Private room,1,117,4.2,4,155,129
20640353,3363377,Brooklyn,Williamsburg,40.70942,-73.94896999999999,Private room,2,48,2.14,2,46,105
4889948,17928071,Brooklyn,Williamsburg,40.71009,-73.9575,Private room,3,23,0.42,2,280,85
3038797,7503643,Brooklyn,Greenpoint,40.7276,-73.94029,Entire home/apt,30,4,0.08,52,337,129
31225706,233559664,Manhattan,Harlem,40.82294,-73.94453,Entire home/apt,3,15,2.9,1,7,150
23811541,23255533,Manhattan,Theater District,40.76155,-73.98619000000001,Private room,3,10,1.24,1,189,139
7024538,16112564,Brooklyn,Brooklyn Heights,40.69382,-73.99334,Entire home/apt,7,1,0.02,1,0,130
29161516,51699123,Brooklyn,Bushwick,40.69854,-73.91086,Private room,2,29,4.73,2,121,70
22978028,10268766,Brooklyn,Bedford-Stuyvesant,40.68156,-73.93722,Entire home/apt,4,19,1.32,1,76,140
35125696,14518163,Brooklyn,South Slope,40.66154,-73.98685,Private room,3,2,1.62,1,30,49
11450373,2856748,Manhattan,West Village,40.73642,-74.00263000000001,Entire home/apt,30,2,0.06,49,342,188
8237244,38363621,Manhattan,East Village,40.72765,-73.98634,Entire home/apt,3,72,1.56,1,0,215
7801262,2083759,Manhattan,Harlem,40.79996,-73.95485,Entire home/apt,3,42,0.89,1,219,104
32808737,219517861,Manhattan,Murray Hill,40.7475,-73.97569,Entire home/apt,2,5,1.32,327,82,231
16392756,5895282,Manhattan,Greenwich Village,40.73421,-73.9968,Entire home/apt,5,9,0.29,1,0,135
32986796,141547523,Manhattan,Harlem,40.82943,-73.9469,Private room,2,13,3.42,1,65,50
4775278,6948005,Brooklyn,Bedford-Stuyvesant,40.69294,-73.96001,Private room,1,1,0.02,1,0,75
9253112,1941852,Brooklyn,Crown Heights,40.66965,-73.95517,Entire home/apt,1,17,0.38,1,0,80
3545066,7250241,Manhattan,Lower East Side,40.71306,-73.98855999999999,Private room,5,3,0.05,1,0,80
31223941,1717520,Manhattan,East Village,40.72405,-73.9845,Entire home/apt,3,1,0.17,2,0,187
7264496,38032297,Manhattan,Morningside Heights,40.80445,-73.9649,Entire home/apt,4,2,0.04,1,0,140
3920562,16715941,Manhattan,East Harlem,40.79882,-73.94266,Private room,1,295,4.99,2,155,90
22088276,31880119,Manhattan,Nolita,40.72382,-73.99540999999999,Entire home/apt,2,9,0.47,1,0,175
30708251,13977477,Brooklyn,Williamsburg,40.71643,-73.96443000000001,Entire home/apt,5,5,0.81,1,0,99
33726859,60127679,Brooklyn,Bedford-Stuyvesant,40.68553,-73.92569,Private room,1,20,6.59,2,23,65
35066800,264156969,Queens,Arverne,40.59279,-73.79993,Private room,1,1,1.0,1,90,80
24968131,7989399,Queens,Sunnyside,40.73891,-73.92642,Private room,3,3,0.29,2,112,50
4742842,7111318,Manhattan,Harlem,40.82784,-73.93704,Entire home/apt,3,111,3.15,1,9,100
1303515,430826,Manhattan,West Village,40.73384,-74.00461999999999,Entire home/apt,14,51,0.7,1,298,140
10405694,12306936,Brooklyn,Bushwick,40.68413,-73.90731,Entire home/apt,3,45,1.1,1,129,150
33072230,219517861,Manhattan,Financial District,40.70645,-74.01186,Entire home/apt,2,6,2.43,327,262,520
21824864,27552154,Manhattan,Upper East Side,40.7627,-73.96225,Private room,3,1,0.05,2,0,90
14767195,92110601,Queens,Sunnyside,40.73967,-73.92367,Private room,2,7,0.21,1,0,50
35091010,264092618,Queens,East Elmhurst,40.76625,-73.87347,Private room,1,12,8.18,5,87,60
14779590,16300594,Brooklyn,Williamsburg,40.716,-73.955,Private room,5,57,1.65,3,104,52
24645220,115258603,Brooklyn,Crown Heights,40.672540000000005,-73.91686,Private room,2,23,1.58,1,172,62
22860844,501456,Brooklyn,Greenpoint,40.7348,-73.95701,Private room,3,11,0.64,4,14,58
26410121,16118005,Brooklyn,Williamsburg,40.70831,-73.96191999999999,Private room,1,11,0.89,1,0,70
21908184,120762452,Manhattan,Murray Hill,40.75006,-73.97694,Entire home/apt,30,1,0.09,50,365,195
18606237,128338539,Staten Island,Stapleton,40.63167,-74.07970999999999,Private room,1,37,1.56,4,89,43
21367482,46332983,Brooklyn,Bedford-Stuyvesant,40.68533,-73.95085999999999,Entire home/apt,2,26,1.82,1,22,120
34861069,18682781,Manhattan,Harlem,40.82509,-73.9522,Private room,1,4,2.55,1,90,75
31465817,132908616,Brooklyn,Bushwick,40.70218,-73.92045999999999,Private room,3,13,2.95,2,51,40
5442054,16437254,Brooklyn,Fort Greene,40.68969,-73.97797,Entire home/apt,30,1,0.13,21,311,193
22754373,1678704,Brooklyn,Bedford-Stuyvesant,40.69251,-73.9301,Private room,1,5,0.46,3,59,35
23045850,157977326,Queens,Maspeth,40.71415,-73.91426,Private room,1,55,3.26,2,27,45
34673706,253843480,Brooklyn,Williamsburg,40.71801,-73.95244,Private room,1,2,1.09,1,249,43
21109037,51339741,Manhattan,Upper West Side,40.77895,-73.98331999999999,Private room,1,43,2.01,1,197,145
9007767,45595980,Manhattan,Midtown,40.76135,-73.96706999999999,Entire home/apt,30,8,0.19,12,282,135
25462356,154629753,Manhattan,Hell's Kitchen,40.76746,-73.98942,Entire home/apt,10,41,3.17,1,126,500
625197,1974637,Brooklyn,Williamsburg,40.71455,-73.93739000000001,Entire home/apt,3,2,0.17,1,83,400
1907058,9898029,Brooklyn,East Flatbush,40.64913,-73.92525,Private room,5,17,0.25,5,308,67
5478741,28411613,Manhattan,Midtown,40.74447,-73.98362,Entire home/apt,3,57,1.14,1,115,524
4550747,23533897,Brooklyn,Crown Heights,40.67565,-73.95121,Private room,2,37,0.67,7,325,85
3083899,15638528,Manhattan,Upper West Side,40.78087,-73.97811999999999,Entire home/apt,1,1,0.02,1,0,120
7205212,35651880,Manhattan,Upper West Side,40.79874,-73.96034,Entire home/apt,3,18,0.39,1,0,130
12985547,13347167,Manhattan,Upper East Side,40.77219,-73.95588000000001,Entire home/apt,30,2,0.15,29,319,142
19763012,139467641,Brooklyn,Bedford-Stuyvesant,40.68309,-73.92298000000001,Private room,3,8,0.33,1,0,47
18402568,33434914,Bronx,Parkchester,40.83081,-73.87586999999999,Private room,2,74,2.89,4,34,45
22683927,167188752,Manhattan,Chelsea,40.7394,-73.99964,Private room,3,1,0.07,1,364,150
27546086,22318190,Manhattan,East Harlem,40.79657,-73.94932,Private room,4,9,0.82,1,13,90
1763333,9268805,Queens,Sunnyside,40.74244,-73.91676,Entire home/apt,1,41,0.59,2,177,95
14183466,85938655,Manhattan,Hell's Kitchen,40.76439,-73.98943,Private room,3,53,1.53,2,197,120
981410,5374768,Manhattan,West Village,40.73331,-74.00471,Entire home/apt,4,1,0.01,1,273,170
29652274,126510786,Manhattan,SoHo,40.72306,-74.00005999999999,Private room,1,1,0.13,1,0,120
20118160,142997033,Brooklyn,Sheepshead Bay,40.59449,-73.95166,Private room,2,9,2.87,1,357,53
12995569,7199306,Manhattan,Hell's Kitchen,40.76814,-73.98476,Entire home/apt,2,2,0.06,1,0,177
9511490,240471,Brooklyn,Williamsburg,40.70766,-73.94739,Private room,3,6,0.14,2,188,60
33365859,1842737,Manhattan,Chelsea,40.74477,-74.00622,Entire home/apt,2,5,1.69,1,137,185
22735103,33695224,Queens,Sunnyside,40.74439,-73.91372,Private room,1,3,0.17,1,0,60
8720655,729279,Manhattan,Upper East Side,40.77243,-73.95016,Entire home/apt,2,34,0.75,1,0,96
4611203,11702175,Manhattan,East Harlem,40.79038,-73.94412,Entire home/apt,3,6,0.11,1,0,170
34974475,263504959,Queens,Woodhaven,40.69114,-73.86459,Entire home/apt,1,8,6.32,8,305,48
26992139,155668897,Queens,Jamaica,40.66726,-73.78666,Private room,5,43,3.61,2,365,70
29094342,219262205,Queens,Jamaica,40.70094,-73.81446,Private room,1,37,4.17,1,0,60
20253237,140299690,Manhattan,Harlem,40.8204,-73.94651999999999,Entire home/apt,3,18,0.79,1,4,150
2776119,14197781,Brooklyn,Bedford-Stuyvesant,40.69707,-73.93914000000001,Entire home/apt,30,3,0.09,1,0,68
20763877,35645777,Brooklyn,Bedford-Stuyvesant,40.68251,-73.94102,Entire home/apt,2,18,0.81,1,0,175
10682316,8655790,Brooklyn,Bushwick,40.69887,-73.9227,Private room,20,1,0.11,1,93,75
22266234,91167002,Manhattan,Hell's Kitchen,40.76405,-73.98877,Entire home/apt,7,1,0.06,3,89,329
19438593,136285608,Brooklyn,Bushwick,40.68919,-73.91719,Private room,10,1,0.15,1,0,50
10827567,31411094,Brooklyn,Crown Heights,40.6725,-73.93981,Entire home/apt,3,128,3.1,1,342,98
690603,3530446,Brooklyn,Crown Heights,40.67722,-73.95005,Entire home/apt,3,66,1.75,3,309,155
19087695,51380878,Brooklyn,Flatbush,40.65067,-73.96061999999999,Private room,2,71,3.17,2,15,33
22139766,88801066,Brooklyn,Brooklyn Heights,40.6936,-73.9935,Entire home/apt,5,4,0.25,1,166,647
17641625,836353,Manhattan,East Village,40.72588,-73.98598,Entire home/apt,6,22,0.87,1,15,122
2424342,2841152,Brooklyn,Greenpoint,40.73169,-73.9554,Private room,2,107,1.64,1,269,109
15970947,101491116,Brooklyn,Cypress Hills,40.68398,-73.87039,Private room,4,2,0.07,6,0,39
35569456,267621090,Brooklyn,Brooklyn Heights,40.69934,-73.99635,Entire home/apt,3,4,4.0,1,323,600
33223,72014,Brooklyn,Williamsburg,40.71165,-73.96087,Private room,3,200,1.86,4,262,80
7902291,41667978,Manhattan,Lower East Side,40.714490000000005,-73.987,Private room,2,1,0.02,1,0,70
21311288,5644804,Manhattan,Upper West Side,40.778690000000005,-73.97658,Entire home/apt,2,31,1.57,1,99,300
4775547,4601412,Brooklyn,Bushwick,40.69437,-73.92607,Private room,5,107,2.03,2,133,90
30354291,24593962,Manhattan,Upper East Side,40.78353,-73.94592,Private room,2,1,0.14,1,0,90
22651901,124657243,Brooklyn,Flatbush,40.65105,-73.95935,Entire home/apt,1,4,0.23,1,0,89
31170814,125586920,Bronx,City Island,40.85746,-73.79056,Entire home/apt,2,14,2.66,1,79,175
28135693,101491116,Brooklyn,Cypress Hills,40.68385,-73.87088,Shared room,1,26,2.57,6,23,25
272706,1402817,Brooklyn,Fort Greene,40.69135,-73.97321,Entire home/apt,5,7,0.08,1,0,88
1089619,5986790,Manhattan,Washington Heights,40.83535,-73.94334,Private room,7,26,0.67,6,272,40
29531124,209298687,Brooklyn,Bedford-Stuyvesant,40.69065,-73.95153,Private room,30,10,1.18,4,328,65
10390902,53495399,Brooklyn,Bushwick,40.70526,-73.91964,Private room,1,1,0.02,1,0,75
34943918,41131304,Brooklyn,Bedford-Stuyvesant,40.68337,-73.93718,Entire home/apt,2,4,3.16,1,66,150
4097284,11948817,Brooklyn,Canarsie,40.63056,-73.89043000000001,Entire home/apt,2,91,1.56,2,289,75
3883020,12556197,Brooklyn,Crown Heights,40.66856,-73.95619,Entire home/apt,5,45,0.77,2,159,104
31297452,99683151,Manhattan,Chelsea,40.74285,-74.00196,Entire home/apt,3,15,2.54,3,293,190
30937759,219517861,Manhattan,Murray Hill,40.74846,-73.97610999999999,Entire home/apt,2,5,0.99,327,62,263
25894924,106304833,Queens,Jamaica,40.68257,-73.77949,Entire home/apt,2,25,2.06,1,62,75
15054617,26377263,Queens,Edgemere,40.59517,-73.77235999999999,Private room,30,2,0.07,43,306,43
18963479,132245692,Manhattan,Midtown,40.75169,-73.97323,Entire home/apt,2,79,3.21,1,98,70
1040156,3740730,Manhattan,Chelsea,40.74398,-73.99624,Entire home/apt,6,127,1.68,2,303,499
1182187,6467086,Manhattan,Chelsea,40.74652,-74.00089,Private room,2,228,3.07,1,53,125
19317834,5416971,Brooklyn,East Flatbush,40.64041,-73.95133,Entire home/apt,2,21,0.85,1,0,97
12078997,5749328,Manhattan,Upper West Side,40.7771,-73.97729,Entire home/apt,3,36,0.93,1,318,160
33427418,178676648,Brooklyn,Bushwick,40.68355,-73.90701,Private room,1,1,0.38,1,88,150
2156111,305395,Manhattan,Hell's Kitchen,40.76337,-73.98576,Private room,5,98,1.73,1,48,130
34305085,258249038,Manhattan,Upper West Side,40.79641,-73.96253,Entire home/apt,5,4,4.0,1,109,589
3902791,6426063,Manhattan,West Village,40.73377,-74.0057,Entire home/apt,5,5,0.08,1,0,199
16395800,78497102,Manhattan,Lower East Side,40.71777,-73.98526,Private room,1,6,0.2,1,0,99
21540496,156587568,Queens,Astoria,40.76129,-73.92009,Entire home/apt,1,56,2.73,1,126,123
13959891,61391963,Manhattan,Upper East Side,40.77148,-73.96110999999999,Entire home/apt,30,7,0.21,91,157,125
28561906,14904449,Brooklyn,Crown Heights,40.67347,-73.95833,Entire home/apt,2,9,0.93,1,15,110
5794806,257676,Brooklyn,Flatbush,40.65409,-73.96025,Private room,1,11,0.22,2,90,148
7095125,36656552,Manhattan,Lower East Side,40.71892,-73.99240999999999,Private room,1,51,1.05,3,0,150
34440093,73195328,Manhattan,Harlem,40.8299,-73.94360999999999,Private room,7,2,1.71,1,30,69
3634361,740032,Brooklyn,Windsor Terrace,40.65413,-73.97684,Entire home/apt,5,28,0.6,1,192,140
7902556,3041587,Manhattan,Financial District,40.70395,-74.00995,Private room,14,121,2.58,1,204,98
14195493,2499618,Brooklyn,Bedford-Stuyvesant,40.68569,-73.92549,Entire home/apt,5,17,0.49,1,330,140
13282553,22656176,Manhattan,Midtown,40.756040000000006,-73.9681,Entire home/apt,1,2,0.05,1,0,185
18794243,26738513,Brooklyn,Bushwick,40.69319,-73.91642,Private room,3,49,1.9,3,13,55
19317196,12624062,Manhattan,Financial District,40.70716,-74.01035999999999,Entire home/apt,1,8,0.34,1,54,210
29729728,2299134,Brooklyn,Williamsburg,40.72034,-73.95626,Entire home/apt,3,2,0.4,1,2,100
211078,306739,Brooklyn,Greenpoint,40.73049,-73.96115,Entire home/apt,3,228,2.39,3,1,185
16382035,1000278,Manhattan,West Village,40.73415,-74.00721,Entire home/apt,1,86,2.76,1,236,190
2652865,9951993,Manhattan,Upper West Side,40.79592,-73.97024,Entire home/apt,2,1,0.05,1,0,159
34804749,81351940,Manhattan,East Village,40.72387,-73.97845,Entire home/apt,2,4,2.79,1,75,166
22730298,131827796,Brooklyn,Prospect-Lefferts Gardens,40.66248,-73.95427,Entire home/apt,3,36,2.23,1,132,130
30251543,3356798,Manhattan,Upper East Side,40.78139,-73.94678,Entire home/apt,30,1,0.14,1,146,150
8929521,46690777,Brooklyn,Crown Heights,40.67653,-73.93766,Private room,4,64,1.44,1,68,88
12950979,71152156,Manhattan,Inwood,40.86612,-73.9189,Entire home/apt,6,1,0.03,1,0,77
6718257,26377263,Brooklyn,East Flatbush,40.660790000000006,-73.9342,Private room,30,2,0.06,43,249,48
27111405,1462483,Manhattan,Midtown,40.74585,-73.98236999999999,Private room,4,32,2.87,2,174,100
22357450,137822449,Brooklyn,Williamsburg,40.71845,-73.95533,Entire home/apt,2,13,0.71,1,35,179
16273143,85938655,Manhattan,Hell's Kitchen,40.7625,-73.98801999999999,Entire home/apt,3,31,1.14,2,295,250
13710241,6110471,Manhattan,Harlem,40.801,-73.95833,Private room,1,23,1.0,1,146,110
18736484,128086219,Queens,Rosedale,40.65219,-73.73729,Private room,2,61,2.36,2,65,49
22100911,161446165,Manhattan,Upper West Side,40.803090000000005,-73.96568,Private room,4,1,0.16,1,341,100
19250742,58782992,Manhattan,Harlem,40.82287,-73.94509000000001,Entire home/apt,31,96,3.93,2,186,125
33315595,131057988,Brooklyn,Williamsburg,40.71419,-73.94138000000001,Private room,2,7,2.66,1,48,150
2882666,6964353,Manhattan,Upper West Side,40.79972,-73.96418,Entire home/apt,10,6,0.1,1,0,150
9496213,6515431,Brooklyn,Williamsburg,40.70564,-73.93646,Private room,1,2,0.05,1,0,46
20641332,108894035,Manhattan,Lower East Side,40.72008,-73.98786,Entire home/apt,5,12,0.56,1,25,139
19958302,34447878,Manhattan,Civic Center,40.71365,-74.0053,Entire home/apt,5,6,0.26,1,0,210
32225206,219517861,Manhattan,Financial District,40.70587,-74.01092,Entire home/apt,2,12,2.67,327,234,472
20167771,143534216,Queens,Elmhurst,40.7466,-73.88812,Private room,2,8,0.35,1,0,80
22010257,3574922,Brooklyn,Flatbush,40.65318,-73.96253,Private room,2,8,0.42,1,0,75
2075526,8109174,Brooklyn,Park Slope,40.66952,-73.98285,Entire home/apt,4,8,0.12,1,0,130
25350617,1180925,Brooklyn,Fort Greene,40.69492,-73.97154,Private room,2,12,0.97,3,89,75
20605399,145802745,Brooklyn,Borough Park,40.6357,-74.00508,Private room,5,16,0.7,1,354,170
35520721,26543881,Queens,Rockaway Beach,40.58447,-73.81704,Entire home/apt,3,2,2.0,1,261,200
32409454,243367528,Queens,Astoria,40.76472,-73.91358000000001,Private room,1,14,3.26,7,313,70
4756551,4031913,Brooklyn,Prospect-Lefferts Gardens,40.65701,-73.96055,Private room,2,139,2.53,1,94,89
11045529,57322543,Manhattan,Hell's Kitchen,40.76355,-73.99391,Entire home/apt,1,52,1.26,1,7,150
22339967,84679277,Manhattan,Upper East Side,40.77817,-73.95096,Private room,2,2,0.3,1,0,60
30910732,59051417,Manhattan,East Harlem,40.79611,-73.94906,Entire home/apt,3,5,0.78,6,249,750
23001343,170608951,Brooklyn,Flatbush,40.653690000000005,-73.95565,Private room,3,22,1.4,1,89,65
9694297,50064597,Queens,Woodhaven,40.69472,-73.84855999999999,Private room,2,5,0.12,1,0,45
13981865,27673980,Queens,Flushing,40.74447,-73.83185999999999,Private room,1,60,1.68,8,53,50
94783,473113,Brooklyn,Crown Heights,40.67174,-73.95663,Entire home/apt,5,104,1.04,1,272,120
2601402,13322259,Brooklyn,Boerum Hill,40.68647,-73.98595,Entire home/apt,3,54,0.94,1,188,115
31058918,227919091,Queens,Jamaica,40.67546,-73.7974,Entire home/apt,2,27,4.4,1,182,65
23700385,8335684,Manhattan,Inwood,40.86302,-73.92981999999999,Entire home/apt,1,2,0.13,3,0,91
13673459,79547468,Manhattan,East Harlem,40.79758,-73.94518000000001,Entire home/apt,6,2,0.06,1,0,125
11754456,61391963,Manhattan,Greenwich Village,40.72815,-74.00111,Entire home/apt,30,7,0.28,91,142,165
22206970,118407577,Manhattan,East Village,40.72588,-73.98243000000001,Entire home/apt,4,4,0.22,1,5,90
18274492,5949541,Staten Island,Grant City,40.58023,-74.10725,Entire home/apt,3,68,2.55,1,50,80
3442067,17198795,Manhattan,Upper East Side,40.78284,-73.94825,Entire home/apt,2,1,0.02,1,341,255
27926502,5649853,Brooklyn,Greenpoint,40.73473,-73.95776,Entire home/apt,2,23,2.28,1,214,177
22264586,50909072,Brooklyn,Williamsburg,40.71291,-73.95959,Private room,3,3,0.16,1,0,100
21765794,154266431,Manhattan,East Village,40.72419,-73.98294,Private room,3,36,1.83,3,9,95
1847096,3952560,Manhattan,East Village,40.729690000000005,-73.98151,Entire home/apt,5,9,0.13,1,0,169
14437093,4400586,Manhattan,East Village,40.72397,-73.98329,Entire home/apt,7,10,0.29,1,0,129
24583645,48805583,Manhattan,Midtown,40.7496,-73.98244,Entire home/apt,6,35,2.48,1,0,170
7717598,40532977,Brooklyn,Bedford-Stuyvesant,40.67982,-73.91346999999999,Entire home/apt,3,63,1.33,4,0,35
9473837,13713658,Brooklyn,Williamsburg,40.7161,-73.94264,Private room,1,1,0.02,1,0,80
450577,2237267,Manhattan,Upper West Side,40.77555,-73.9767,Entire home/apt,3,73,0.84,1,284,250
29037276,216772639,Brooklyn,Borough Park,40.63376,-74.00541,Private room,1,3,0.42,7,357,45
15834067,100781220,Queens,Astoria,40.75732,-73.92019,Entire home/apt,2,67,2.13,1,191,110
13919213,82623035,Manhattan,Harlem,40.82611,-73.94407,Entire home/apt,2,138,3.79,1,232,155
3278436,7105630,Manhattan,Upper West Side,40.78206,-73.97797,Entire home/apt,4,11,0.18,1,260,330
27284564,205530337,Queens,Ridgewood,40.70176,-73.90435,Private room,30,1,0.71,8,347,45
